,match_id,minute,h_a,xG,result,x,y,player,shot_type,last_action
903,28817,72,a,0.03941400349140167,BlockedShot,0.935,0.3370000076293945,Amad Diallo Traore,LeftFoot,Cross
904,28817,72,a,0.016685636714100838,MissedShots,0.7469999694824219,0.51,Manuel Ugarte,RightFoot,Pass
905,28817,79,a,0.03856297954916954,MissedShots,0.9480000305175781,0.34200000762939453,Bryan Mbeumo,RightFoot,Cross
906,28817,81,a,0.012711523100733757,MissedShots,0.7609999847412109,0.355,Bryan Mbeumo,LeftFoot,None
907,28817,83,a,0.03871883079409599,MissedShots,0.9459999847412109,0.3129999923706055,Amad Diallo Traore,RightFoot,Chipped
908,28817,83,a,0.6350149512290955,MissedShots,0.9669999694824218,0.4540000152587891,Bryan Mbeumo,LeftFoot,Rebound
909,28817,84,a,0.01749836467206478,MissedShots,0.8140000152587891,0.6120000076293945,Bruno Fernandes,LeftFoot,Aerial
910,28817,84,a,0.4507070779800415,MissedShots,0.9690000152587891,0.41900001525878905,Casemiro,RightFoot,Rebound
911,28817,85,a,0.1686217337846756,MissedShots,0.879000015258789,0.590999984741211,Patrick Dorgu,RightFoot,TakeOn
912,28817,91,a,0.015268869698047638,BlockedShot,0.74,0.4929999923706055,Casemiro,RightFoot,Pass
913,28817,92,a,0.06068973243236542,MissedShots,0.925,0.5670000076293945,Patrick Dorgu,Head,Aerial
914,28818,9,h,0.06738808751106262,Goal,0.9019999694824219,0.34599998474121096,Ryan Gravenberch,RightFoot,Chipped
915,28818,15,h,0.05772396922111511,MissedShots,0.8530000305175781,0.3189999961853027,Mohamed Salah,LeftFoot,None
916,28818,18,h,0.0890515074133873,BlockedShot,0.85,0.5559999847412109,Alexis Mac Allister,LeftFoot,Pass
917,28818,18,h,0.045539069920778275,BlockedShot,0.8809999847412109,0.295,Conor Bradley,RightFoot,Rebound
918,28818,23,h,0.1346806436777115,MissedShots,0.860999984741211,0.4420000076293945,Cody Gakpo,RightFoot,None
919,28818,28,h,0.3504309058189392,Goal,0.9119999694824219,0.375,Hugo Ekitike,RightFoot,Throughball
920,28818,53,h,0.051776569336652756,BlockedShot,0.825999984741211,0.685,Hugo Ekitike,RightFoot,Pass
921,28818,55,h,0.1356126070022583,SavedShot,0.8580000305175781,0.3609999847412109,Mohamed Salah,LeftFoot,Chipped
922,28818,71,h,0.025867801159620285,BlockedShot,0.905,0.5,Ibrahima Konaté,Head,Aerial
923,28818,73,h,0.03755884990096092,MissedShots,0.71,0.3820000076293945,Dominik Szoboszlai,RightFoot,Standard
924,28818,83,h,0.0700811892747879,BlockedShot,0.855999984741211,0.37,Dominik Szoboszlai,RightFoot,Pass
925,28818,23,a,0.019041072577238083,BlockedShot,0.7730000305175782,0.705999984741211,Idrissa Gueye,RightFoot,Pass
926,28818,26,a,0.06359004229307175,MissedShots,0.9209999847412109,0.6780000305175782,Kiernan Dewsbury-Hall,LeftFoot,Pass
927,28818,36,a,0.08580797910690308,MissedShots,0.9130000305175782,0.4570000076293945,Beto,RightFoot,Cross
928,28818,42,a,0.019569212570786476,BlockedShot,0.8030000305175782,0.715999984741211,James Garner,RightFoot,Pass
929,28818,45,a,0.08362530916929245,SavedShot,0.8440000152587891,0.5170000076293946,Idrissa Gueye,LeftFoot,Pass
930,28818,54,a,0.06898057460784912,BlockedShot,0.9369999694824219,0.6630000305175782,Kiernan Dewsbury-Hall,LeftFoot,Pass
931,28818,57,a,0.31301936507225037,Goal,0.8669999694824219,0.42700000762939455,Idrissa Gueye,RightFoot,Pass
932,28818,79,a,0.03387372940778732,MissedShots,0.7390000152587891,0.75,James Garner,RightFoot,Standard
933,28818,89,a,0.03386339545249939,MissedShots,0.905,0.6930000305175781,Jack Grealish,RightFoot,Cross
934,28819,5,h,0.13340333104133606,SavedShot,0.965,0.46700000762939453,Konstantinos Mavropanos,Head,Cross
935,28819,48,h,0.11966060101985931,Goal,0.9340000152587891,0.47400001525878904,Jarrod Bowen,Head,Cross
936,28819,51,h,0.01174372062087059,BlockedShot,0.7190000152587891,0.664000015258789,James Ward-Prowse,RightFoot,Pass
937,28819,62,h,0.01695026457309723,MissedShots,0.9730000305175781,0.625999984741211,Lucas Paquetá,Head,Cross
938,28819,63,h,0.03792275860905647,SavedShot,0.8969999694824219,0.2589999961853027,Kyle Walker-Peters,RightFoot,Pass
939,28819,66,h,0.035743195563554764,MissedShots,0.9630000305175781,0.3970000076293945,Kyle Walker-Peters,Head,Aerial
940,28819,80,h,0.07159095257520676,MissedShots,0.835999984741211,0.5229999923706055,Jarrod Bowen,LeftFoot,Pass
941,28819,92,h,0.039350125938653946,MissedShots,0.8969999694824219,0.5279999923706055,Luis Guilherme,Head,Pass
942,28819,8,a,0.01626068539917469,BlockedShot,0.7530000305175781,0.5990000152587891,Yeremi Pino,RightFoot,None
943,28819,31,a,0.12507210671901703,MissedShots,0.9519999694824218,0.47200000762939454,Daichi Kamada,Head,Aerial
944,28819,34,a,0.023688603192567825,BlockedShot,0.7819999694824219,0.3970000076293945,Adam Wharton,LeftFoot,Pass
945,28819,35,a,0.084990955889225,BlockedShot,0.8830000305175781,0.565,Yeremi Pino,LeftFoot,None
946,28819,36,a,0.08119462430477142,BlockedShot,0.9669999694824218,0.45599998474121095,Marc Guehi,Head,Aerial
947,28819,36,a,0.6040295958518982,Goal,0.970999984741211,0.4829999923706055,Jean-Philippe Mateta,Head,Rebound
948,28819,43,a,0.05065634846687317,MissedShots,0.9169999694824219,0.5829999923706055,Daniel Muñoz,Head,Cross
949,28819,46,a,0.4896112382411957,ShotOnPost,0.9580000305175781,0.47099998474121096,Maxence Lacroix,Head,Cross
